license_type,dba_name,account_business_street,license_number,account_business_city,account_business_state_province,account_business_zip_postal_code,classification,full_address,lon,lat
Pharmacy,Network HealthCare Missouri,1329 Horan Drive,2004034239,Fenton,Missouri,63026,Class A (Community/Ambulatory); Class C (Long-Term Care),"1329 Horan Drive, Fenton, Missouri, 63026",-90.4710015,38.5387779
Pharmacy,Stanley's Pharmacy,1369 Spur Dr,2004036066,Marshfield,Missouri,65706,Class A (Community/Ambulatory); Class D (Non-Sterile Compounding),"1369 Spur Dr, Marshfield, Missouri, 65706",-92.9281314,37.3418922
Pharmacy,Marshfield Clinic Pharmacy,483 Pomme De Terre Drive,2004036065,Marshfield,Missouri,65706,Class A (Community/Ambulatory); Class C (Long-Term Care),"483 Pomme De Terre Drive, Marshfield, Missouri, 65706",-92.9365622,37.3319375
Pharmacy,Four Rivers Pharmacy,1081 E 18th St,2024040925,Rolla,Missouri,65401,Class A (Community/Ambulatory); Class J (Shared Services),"1081 E 18th St, Rolla, Missouri, 65401",-91.755766,37.9599312
Pharmacy,Medicine Shoppe 1696,635 S Sturgeon St,2024028121,Montgomery City,Missouri,63361,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"635 S Sturgeon St, Montgomery City, Missouri, 63361",-91.49903909999999,38.9702545
Pharmacy,Walgreens #04439,1191 W Kansas St,2000145220,Liberty,Missouri,64068,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"1191 W Kansas St, Liberty, Missouri, 64068",-94.4418714,39.2438722
Pharmacy,"Optum Infusion Services 501, Inc",1867 Lackland Hill Parkway,2022004995,Saint Louis,Missouri,63146,Class A (Community/Ambulatory); Class J (Shared Services),"1867 Lackland Hill Parkway, Saint Louis, Missouri, 63146",-90.41437289999999,38.69478400000001
Pharmacy,Walgreens # 07743,1955 S. National Avenue,2005000296,Springfield,Missouri,65804,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"1955 S. National Avenue, Springfield, Missouri, 65804",-93.2773094,37.1787202
Pharmacy,Country Mart Pharmacy #2416,"508 East 5th Street, PO Box 509",2005015586,Dixon,Missouri,65459,Class A (Community/Ambulatory),"508 East 5th Street, PO Box 509, Dixon, Missouri, 65459",-92.085459,37.9983549
Pharmacy,Wal-Mart Pharmacy #10-5261,100 Commercial Ln,2004035443,Pineville,Missouri,64856,Class A (Community/Ambulatory); Class J (Shared Services),"100 Commercial Ln, Pineville, Missouri, 64856",-94.2778871,36.5078233
Pharmacy,Sinks Pharmacy #100,"P.O. Box 934, 206 D Alvarado",2005000321,Belle,Missouri,65013,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"P.O. Box 934, 206 D Alvarado, Belle, Missouri, 65013",-91.7213379,38.2873894
Pharmacy,Sinks Pharmacy South,1100 B S Bishop Ave,2005000322,Rolla,Missouri,65401,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"1100 B S Bishop Ave, Rolla, Missouri, 65401",-91.7789114,37.9297902
Pharmacy,Walgreens #05873,17811 East US Highway 24,2001014018,Independence,Missouri,64056-1164,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"17811 East US Highway 24, Independence, Missouri, 64056-1164",-94.3667104,39.1214817
Pharmacy,Hy Vee Pharmacy #1076,3100 Broadway West,2001019081,Columbia,Missouri,65203,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"3100 Broadway West, Columbia, Missouri, 65203",-92.383634432027,38.95343544869547
Pharmacy,Sullivan County Pharmacy,511 W 3rd St,2024042788,Milan,Missouri,63556,Class A (Community/Ambulatory); Class C (Long-Term Care),"511 W 3rd St, Milan, Missouri, 63556",-93.1311224,40.2021165
Pharmacy,"Strive Pharmacy Missouri, LLC",2058 Fenton Logistics Park,2024036555,Fenton,Missouri,63026,Class A (Community/Ambulatory); Class D (Non-Sterile Compounding); Class H (Sterile Product Compounding); Class J (Shared Services),"2058 Fenton Logistics Park, Fenton, Missouri, 63026",-90.4536226,38.5463276
Pharmacy,AxivaRx of Missouri LLC,"9890 Clayton Rd, Ste 220",2024040243,Ladue,Missouri,63124,Class A (Community/Ambulatory),"9890 Clayton Rd, Ste 220, Ladue, Missouri, 63124",-90.39033289999999,38.6363262
Pharmacy,EverCare Pharmacy,1903 E 9th St,2024044092,Trenton,Missouri,64683,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"1903 E 9th St, Trenton, Missouri, 64683",-93.5957866,40.0748158
Pharmacy,"Hometown Pharmacy Management, LLC",110 Leroux St,2024042400,Doniphan,Missouri,63935,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding),"110 Leroux St, Doniphan, Missouri, 63935",-90.82786019999999,36.6313286
Pharmacy,Stephens Pharmacy at CMH,1100 S Springfield,2024047152,Bolivar,Missouri,65613,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"1100 S Springfield, Bolivar, Missouri, 65613",-93.40524219999999,37.6033253
Pharmacy,CMH Senior Pharmacy,1100 S Springfield Ste A,2024047153,Bolivar,Missouri,65613,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"1100 S Springfield Ste A, Bolivar, Missouri, 65613",-93.40524219999999,37.6033253
Pharmacy,Walgreens #07428,801 S. Limit,2003006519,Sedalia,Missouri,65301,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"801 S. Limit, Sedalia, Missouri, 65301",-93.2497944,38.7045012
Pharmacy,Clarity Healthcare Pharmacy,235 Progress Rd.,2022012040,Hannibal,Missouri,63401,Class A (Community/Ambulatory); Class C (Long-Term Care),"235 Progress Rd., Hannibal, Missouri, 63401",-91.40120830000001,39.731143
Pharmacy,Pill Box Pharmacy,304 E. Jackson St. #2D PO Box 244,2005000511,Willard,Missouri,65781,Class A (Community/Ambulatory); Class C (Long-Term Care),"304 E. Jackson St. #2D PO Box 244, Willard, Missouri, 65781",-93.42501250000001,37.3023044
Pharmacy,Walgreens #05624,600 W. Karsch,2000153869,Farmington,Missouri,63640,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"600 W. Karsch, Farmington, Missouri, 63640",-90.4310046,37.7889842
Pharmacy,Walgreens #05003,13992 Manchester Rd,2000155501,Ballwin,Missouri,63011,Class A (Community/Ambulatory); Class J (Shared Services),"13992 Manchester Rd, Ballwin, Missouri, 63011",-90.4901962,38.5949045
Pharmacy,Walgreens #06286,9495 Mexico Rd.,2001018914,O Fallon,Missouri,63366,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"9495 Mexico Rd., O Fallon, Missouri, 63366",-90.7362046,38.7873792
Pharmacy,Green Hills Pharmacy,712 South Main,2001021786,Brookfield,Missouri,64628,Class A (Community/Ambulatory); Class C (Long-Term Care); Class H (Sterile Product Compounding),"712 South Main, Brookfield, Missouri, 64628",-93.0680864,39.7745481
Pharmacy,Lakeland Pharmacy #2,"1232 Branson Hills Parkway, Ste 205",2000157086,Branson,Missouri,65616,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"1232 Branson Hills Parkway, Ste 205, Branson, Missouri, 65616",-93.22888979999999,36.6748843
Pharmacy,Walgreens #05278,3845 Broadway Blvd,2000157695,Kansas City,Missouri,64111,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"3845 Broadway Blvd, Kansas City, Missouri, 64111",-94.5901773,39.05738590000001
Pharmacy,SSM Health Pharmacy,12266 DePaul Dr Suite 105,2022010500,Bridgeton,Missouri,63044,Class A (Community/Ambulatory); Class J (Shared Services),"12266 DePaul Dr Suite 105, Bridgeton, Missouri, 63044",-90.4322748,38.7504102
Pharmacy,SSM Health Pharmacy,711 Veterans Memorial Pkwy Ste 102,2022009869,Saint Charles,Missouri,63303,Class A (Community/Ambulatory); Class J (Shared Services),"711 Veterans Memorial Pkwy Ste 102, Saint Charles, Missouri, 63303",-90.4985519,38.7688385
Pharmacy,Big Bend Pharmacy,659 Big Bend Rd,2022003539,Manchester,Missouri,63021,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding),"659 Big Bend Rd, Manchester, Missouri, 63021",-90.5222168,38.5691062
Pharmacy,John's Pharmacy Altenburg,8491 Main St,2022012788,Altenburg,Missouri,63732,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class H (Sterile Product Compounding); Class J (Shared Services),"8491 Main St, Altenburg, Missouri, 63732",-89.5907421,37.6295271
